Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Mitch Lee #1,M,SBD,Wraps,33,24-34,24-39,M-OR,122.2,125,365,390,410,,410,225,235,245,,245,330,345,-355,,345,1000,1,570.88,572.57,548.60,115.33,,Australia,,ProRaw,,2023-03-18,Australia,VIC,Carrum Downs,13
Mitch Lee #1,M,D,Raw,33,24-34,24-39,Open,115.4,125,,,,,,,,,,,-320,-320,325,,325,325,2,189.16,188.67,180.62,,,Australia,TAS,WRPF-AUS,WRPF,2022-12-10,Australia,TAS,Launceston,Slaughterhouse Deadlift Classic
Mitch Lee #1,M,D,Raw,33,24-34,24-39,S24-39,115.4,125,,,,,,,,,,,-320,-320,325,,325,325,2,189.16,188.67,180.62,,,Australia,TAS,WRPF-AUS,WRPF,2022-12-10,Australia,TAS,Launceston,Slaughterhouse Deadlift Classic
Mitch Lee #1,M,SBD,Wraps,32,24-34,24-39,MR-O,116.6,125,340,370,-390,,370,220,230,240,,240,330,-352.5,352.5,,352.5,962.5,1,558.19,557.25,533.66,113.31,,Australia,TAS,WRPF-AUS,WRPF,2022-09-17,Australia,TAS,Devonport,Australian Senior Championships
Mitch Lee #1,M,SBD,Wraps,32,24-34,24-39,MR-S,116.6,125,340,370,-390,,370,220,230,240,,240,330,-352.5,352.5,,352.5,962.5,1,558.19,557.25,533.66,113.31,,Australia,TAS,WRPF-AUS,WRPF,2022-09-17,Australia,TAS,Devonport,Australian Senior Championships
Mitch Lee #1,M,SBD,Wraps,32,24-34,24-39,MR-O,110,110,-360,360,380,,380,215,225,235,,235,330,-350,-357.5,,330,945,1,559.69,556.13,531.52,114.20,,Australia,,WRPF-AUS,WRPF,2022-09-11,Australia,NSW,Merrylands,Breakthrough Battlegrounds
Mitch Lee #1,M,SBD,Wraps,32,24-34,24-39,M-OR,109,110,330,350,360,,360,-200,205,212.5,,212.5,300,325,337.5,,337.5,910,1,540.83,537.05,513.16,110.43,,Australia,,ProRaw,,2022-04-23,Australia,VIC,Carrum Downs,12
Mitch Lee #1,M,SBD,Wraps,32,24-34,24-39,MR-O,109.6,110,-380,-380,-380,,,220,230,-240,,230,300,320,340,,340,,DQ,,,,,,Australia,TAS,WRPF-AUS,WRPF,2021-12-04,Australia,TAS,Hobart,Slaughterhouse Classic
Mitch Lee #1,M,SBD,Wraps,31,24-34,24-39,MR-O,106.2,110,290,-305,305,,305,190,-195,-195,,190,280,-300,-300,,280,775,1,465.28,461.29,440.54,95.18,,Australia,TAS,WRPF-AUS,WRPF,2021-05-29,Australia,TAS,Burnie,Tasmanian State Titles
Mitch Lee #1,M,SBD,Wraps,29,24-34,24-39,MR-O,109.6,110,340,360,375,,375,220,230,235,,235,300,320,335,,335,945,1,560.46,556.75,532.06,114.39,,Australia,,WRPF-AUS,WRPF,2019-08-24,Australia,,,Australian Championships
Mitch Lee #1,M,SBD,Wraps,29,24-34,24-39,M-OR,106.6,110,325,-350,350,,350,200,210,220,,220,300,310,,,310,880,4,527.54,523.12,499.62,107.89,,Australia,,ProRaw,,2019-03-15,Australia,VIC,Melbourne,XI
